"Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril, Canada, mai 2023",,,,,,,,,,
,,,,,,,,,,
Nom commun,Nom scientifique,Groupe d'espèces,Désignation de la Loi sur les espèces en péril,Version finale du document de rétablissement,COSEWIC Date de réévaluation,Date du rapport sur les progrès de la mise en œuvre du programme de rétablissement,Objectifs du document de rétablissement,Données sur les espèces,Logique,Progrès vers l’atteinte des objectifs de population et de répartition des populations d’espèces en péril
Couleuvre fauve de l'Est (Population des Grands Lacs et du Saint-Laurent),Pantherophis vulpinus,Reptile,En voie de disparition,3/26/2020,11/1/2021,12/29/2021,"Maintenir l’abondance, la zone d’occupation et la connectivité des habitats actuelles chez les populations locales de couleuvres fauves de l’Est (population des Grands Lacs et du Saint-Laurent).",La population des Grands Lacs et du Saint-Laurent compte environ 1 180 à 2 190 individus matures. Il n'y a pas d'information sur les tendances des sous-populations. Il y a eu une augmentation de la découverte de sites d'hibernation auparavant non documentés. Il y a un déclin inféré et projeté du nombre d'individus matures.,n/d,Données insuffisantes pour déterminer les tendances
Couleuvre à nez plat,Heterodon platirhinos,Reptile,Menacée,3/31/2009,4/1/2021,11/1/2007,"L'objectif de la stratégie de rétablissement est la persistence à long terme des populations de couleuvre à nez plat à travers sa répartition au Canada. Les objectifs se concentrent sur : (1) Inventaire et suivi [déterminer la répartition actuelle de l'espèce et le nombre d'aires protégées avec des populations existantes; et mettre en place une méthode de suivi standardisée]; (2) recherche [combler les lacunes dans les connaissances au sujet de l'utilisation de l'habitat, la biologie de la population et les menaces]; (3) conservation et gestion [s'assurer de la conservation par la protection des terres, l'aménagement du territoire, l'élaboration de règlements, l'application des règlements existants et le développement de mesures pour atténuer les menaces identifiées]; (4) habitat essentiel [définir et cartographier l'habitat essentiel et la résidence requis pour atteindre les objectifs de rétablissement pour chacune des populations en Ontario]; et (5) communication et intendance [développer et distribuer des programmes de communication et d'éducation pour augmenter les connaissances, intendance des terres et mise en application des meilleures pratiques de gestion].","L'estimation supérieure de la taille de la population adulte est de 15 000. Les données provenant de deux sites inventoriés à plusieurs reprises suggèrent des déclins dans l'abondance de plus de 30 % et de plus de 80 % à ces sites au courant de la dernière décennie. Toute l'information disponible indique un déclin dans le nombre d'animaux basé sur un déclin dans l'habitat disponible et une disparition ou un déclin dans plusieurs sites. La population canadienne semble être en déclin depuis les 20 dernières années (3 générations) et un déclin continu est prévu en raison des menaces. Il y a eu des disparitions dans la région du Golden Horseshoe, dans de larges étendues dans le sud-ouest de l'Ontario, incluant la Pointe-Pelée ainsi que le Parc provincial Algonquin.",n/d,Objectifs opérationnels
Benoîte de Peck,Geum peckii,"Plante vasculaire, herbe",En voie de disparition,4/28/2010,4/1/2010,4/1/2010,Protéger et maintenir les populations existantes au niveau d'abondance actuel ou supérieur sans réduction dans l'aire de répartition actuelle. Améliorer les conditions dans les sites occupés et y renforcer les populations.,"Le nombre d'individus matures est estimé à moins de 9 000 dans 2 populations (18 sous-populations)?; ces plantes grandissent dans des parcelles rapprochées et il est difficile de distinguer les individus. La zone occupée la plus grande population a diminué en raison de la perte d'habitat au profit de la nidification des goélands et de l'incursion d'arbres et d'arbustes. Certains sites ne peuvent pas être relocalisés et ont probablement disparu. Huit nouveaux sites découverts depuis 1985 sont probablement des sites établis de longue date plutôt que des sites nouvellement occupés. Dans l'ensemble, 1 population est en déclin et l'autre semble être relativement stable. ","En général, 1 population a décliné et une autre semble stable.",Preuves mitigées
Oponce de l'Est,Opuntia humifusa,"Plante vasculaire, herbe",En voie de disparition,11/30/2010,4/1/2010,3/1/2023,Maintenir le nombre actuel de microsites (345) au parc national de la Pointe Pelée au cours des 5 prochaines années et accroître ce nombre de 5 % au cours des 10 prochaines années. Maintenir la taille de la population (5 microsites) à la réserve naturelle provinciale de la Pointe Fish sur l'île Pelée au cours des 5 prochaines années.,"De 2018 à 2022, le nombre de microsites de Fish Point a diminué, passant de 5 à 3. Selon les plus récentes estimations (2019-2021), le nombre de microsites au parc national de la Pointe Pelée s’élevait à 548, dépassant ainsi l’objectif de maintenir une population supérieure à 345 et d’accroître le nombre de microsites de 5 % d’ici 2020. ","Selon les données recueillies depuis 2005, le nombre de microsites a considérablement augmenté au cours de la période de suivi 2015-2017, atteignant 604, puis il a diminué durant la dernière période de suivi (2019-2022), pour atteindre 548. Ces nombres demeurent bien au-dessus de la cible de 362 microsites, établie dans l’objectif de croissance de la population. ",Montre des progrès
Couleuvre mince (Population de l'Atlantique),Thamnophis sauritus,Reptile,Menacée,2/8/2012,11/1/2012,6/8/2022,Maintenir les populations dans les sites connus. Atteindre une population autosuffisante qui a 95 % de chance de subsister dans son aire de répartition actuelle. Conserver ou élargir la répartition actuelle des terres humides utilisées par les Couleuvres minces dans le sud-ouest de la Nouvelle-Écosse.,"Certaines données montrent que des populations pourraient être en déclin dans certaines régions de la Nouvelle-Écosse. Il semble que les Couleuvres minces aient disparu d'un site en Nouvelle-Écosse, lequel avait la densité la plus élevée de ces Couleuvres dans la province dans les années 1980. L'aire de répartition connue a augmenté de manière considérable, grâce à l'augmentation des efforts de recherche.",On n'a pas pu établir les tendances des populations à long terme. Certaines données montrent que quelques populations pourraient être en déclin.,Données insuffisantes pour déterminer les tendances
Dard de sable (Populations de l'Ontario),Ammocrypta pellucida,"Poisson, eau douce",Menacée,10/19/2012,11/1/2009,9/13/2018,Maintenir les populations autosuffisantes existantes et rétablir des populations autosuffisantes dans l’habitat occupé historiquement lorsque cela est possible.,"Deux observations importantes de dard de sable ont été faites depuis 2012. Celles-ci ont révélé que le dard de sable est plus répandu en Ontario que ce qui était présumé, et elles ont permis d’affiner les objectifs en matière de population et de répartition de l’espèce. Le nombre de relevés par échantillonnage ciblés qui ont été menés pour cette espèce est limité.","Le dard de sable a fait l’objet d’un nombre limité de relevés par échantillonnage ciblé, lesquels permettent de générer des estimations quantitatives robustes de la taille de la population.",Données insuffisantes pour déterminer les tendances
Dard de sable (Populations du Québec),Ammocrypta pellucida,"Poisson, eau douce",Menacée,4/29/2014,11/1/2009,6/2/2022,"L’objectif à court terme consiste à maintenir les populations dans toute l’aire de répartition de l’espèce au Québec. À long terme (c.-à-d. 20 ans), il s’agit de favoriser la croissance des populations existantes afin d’assurer leur viabilité et de rétablir, dans la mesure du possible, les populations historiques aujourd’hui disparues.","La présence de l’espèce a été confirmée dans les six rivières où elle se trouvait historiquement. L’espèce a aussi été répertoriée dans neuf autres rivières et, même si le nombre de spécimens capturés dans certaines d’entre elles est limité, ces nouvelles mentions sont importantes puisqu’elles témoignent d’un élargissement de l’aire de répartition du dard de sable au Québec. ",Des progrès considérables ont été réalisés au cours des cinq dernières années en ce qui a trait à la mise en œuvre des mesures visant les populations de dards de sable au Québec qui figurent dans le programme de rétablissement de l’espèce.,Montre des progrès
Engoulevent bois-pourri,Antrostomus vociferus,Oiseau,Menacée,11/8/2018,12/1/2022,,"À court terme : ralentir le déclin de façon à ce que la population ne perde pas plus de 10 % (c.-à-d. 12 000 individus) au cours de la période de 2018 à 2028, et maintenir les superficies d’habitats occupés à 3 000 km2 ou plus. 
À long terme : assurer une tendance positive de la population sur 10 ans à compter de 2028, tout en favorisant une augmentation des superficies d’habitats occupés, y compris la recolonisation graduelle de superficies situées dans la portion sud de l’aire de reproduction.","La population canadienne est estimée à 140 000 individus matures, sa zone d’occupation est supérieure à 2 000 km2. Une nouvelle analyse des données sur les tendances indique que l’espèce n’a peut-être pas subi un déclin aussi marqué que ce qui a été estimé au moment de la précédente évaluation. Aussi, de nouvelles données suggèrent que son abondance pourrait maintenant être stable ou en augmentation. ","L'objectif en matière de population a été atteint, probablement grâce aux améliorations apportées aux méthodes d’estimation. Une nouvelle analyse des données sur les tendances montre que, dans l’ensemble, les effectifs sont soit stables soit en augmentation. En revanche, la population du Nouveau-Brunswick connaît un déclin à court et à long terme.",Preuves mitigées
Couleuvre agile à ventre jaune de l'Est,Coluber constrictor flaviventris,Reptile,Menacée,10/27/2010,11/1/2015,11/1/2015,Maintenir la répartition actuelle de l'espèce au Canada.,"La population a décliné à cause d'un affaissement de terrain dans le parc national du Canada des Prairies en 2011, qui a tué ou fait fuir les serpents de la plus grosse tanière connue de cette sous-espèce au pays.",La population a diminué depuis 2011.,Ne montre aucun progrès
Noctuelle d'Edwards,Anarta edwardsii,Insecte,En voie de disparition,12/20/2017,4/1/2021,,L'objectif de population et de répartition est de s'assurer de la persistence de la noctuelle d'Edwards dans tous les sites existants (et tous les nouveaux sites) et maintenir l'aire de répartition actuelle en Colombie-Britannique.,Il y a quatre sous-populations existantes localisées sur l'Île de Vancouver. Il n'y a pas d'estimation de la population canadienne.,Il n'y a pas d'estimation de la population pour déterminer les tendances.,Données insuffisantes pour déterminer les tendances
Épinoche à trois épines benthique du lac Enos,Gasterosteus aculeatus,"Poisson, eau douce",En voie de disparition,8/21/2019,5/1/2012,10/12/2016,"Établir des populations en captivité de la paire d'espèces d'épinoches du lac Enos. Établir une population viable de la paire d'espèces d'épinoches du lac Enos, de préférence dans le lac Enos, ou assurer son rétablissement.","Depuis au moins 1994, les distinctions entre les formes benthique et limnétique, déterminées selon des essais utilisant des techniques génétiques et morphologiques, ont baissé de manière considérable, de telle sorte que l'on estime que les formes pures de ces espèces n'existent plus et qu'elles ont été remplacées par des hybrides. La taille de la population totale d'Épinoches estimée s'élève à au moins 20 000 individus matures. On ne peut pour l'instant écarter la possibilité que des individus benthiques et limnétiques «?génétiquement purs?» subsistent dans le lac Enos, sans procéder à de nouvelles activités d'échantillonnage et d'analyse intensives. On ne trouve pas d'Épinoche à 3 épines benthique du lac Enos pure en captivité.","Il y a peu de chances pour que des individus benthiques génétiquement purs demeurent dans le lac Enos, et aucune population en captivité n'a été établie.",Ne montre aucun progrès
Épinoche à trois épines limnétique du lac Enos,Gasterosteus aculeatus,"Poisson, eau douce",En voie de disparition,8/21/2019,5/1/2012,10/12/2016,"Établir des populations en captivité de la paire d'espèces d'Épinoches du lac Enos. Établir une population viable de la paire d'espèces d'Épinoches du lac Enos, de préférence dans le lac Enos, ou assurer son rétablissement.","Depuis au moins 1994, les distinctions entre les formes benthique et limnétique, déterminées selon des essais utilisant des techniques génétiques et morphologiques, ont baissé de manière considérable, de telle sorte que l'on estime que les formes pures de ces espèces n'existent plus et qu'elles ont été remplacées par des hybrides. La taille de la population totale d'Épinoches estimée s'élève à au moins 20 000 individus matures. On ne peut pour l'instant écarter la possibilité que des individus benthiques et limnétiques «?génétiquement purs?» subsistent dans le lac Enos, sans procéder à de nouvelles activités d'échantillonnage et d'analyse intensives. L'Épinoche à 3 épines limnétique du lac Enos existe dans un autre site, mais ces individus semblent s'être éloignés de la population parente.","Il y a peu de chances pour que les individus limnétiques génétiquement purs demeurent dans le lac Enos, et une population en captivité semble être différente.",Ne montre aucun progrès
Hermine de la sous-espèce haidarum,Mustela erminea haidarum,Mammifère,Menacée,7/22/2011,5/1/2015,5/1/2015,Maintenir ou rétablir une population sauvage viable dans toute l'aire historique de l'espèce d'ici 2036.,La comparaison des résultats d'un récent échantillonnage aux données historiques de trappage suggère un déclin du nombre d'individus.,On a déduit que la population historique a diminué depuis les années 1950.,Ne montre aucun progrès
Courlis esquimau,Numenius borealis,Oiseau,En voie de disparition,6/20/2007,11/1/2009,11/1/2009,Le rétablissement de cette espèce est jugé irréalisable pour l'instant. Le caractère réalisable du rétablissement sera réévalué si les conditions changent ou si de nouvelles données sont obtenues (c.-à-d. si des courlis esquimaux sont repérés).,"D'importants déclins dans les effectifs ont été observés durant les années 1870 à 1890, puis le courlis esquimau est devenu très rare. Aucun nid n'a été signalé depuis plus de 100 ans, malgré des inventaires approfondis qui ont été menés dans les aires de reproduction historiques. Même si un certain nombre d'observations ont été signalées au cours des récentes décennies, la plupart durant la migration, aucune mention complètement documentée n'a été effectuée depuis 1963, alors qu'un oiseau avait été récolté à la Barbade.",n/d,Irréalisable
Isopyre à feuilles biternées,Enemion biternatum,"Plante vasculaire, herbe",Menacée,12/21/2017,4/1/2022,,Maintenir la répartition et maintenir ou accroître l'abondance des tiges dans les populations existantes et dans toute population historique dont l'existence est reconfirmée au Canada.,"La population canadienne se compose de plusieurs sous-populations réparties dans de nombreux sites; la majorité des individus appartiennent à deux sous-populations qui se retrouvent dans deux sites distincts. Il n’y a pas de données quantitatives disponibles concernant les tendances démographiques. La taille de la population connue a augmenté au cours des 30 dernières années en raison de l’accroissement des activités de recherche. Certaines baisses de population ont été observées à l’échelle locale, y compris la disparition présumée de trois petites occurrences et une baisse apparente de 70 % du nombre estimé de tiges dans la plus importante colonie. La zone d’occurrence est stable, mais il y a un déclin inféré de l’indice de zone d’occupation.",Les données disponibles sont insuffisantes pour déterminer les tendances démographiques. La taille de la population connue a augmenté en raison de la hausse du nombre de relevés.,Données insuffisantes pour déterminer les tendances
Saule silicicole,Salix silicicola,"Plante vasculaire, herbe",Préoccupante,12/18/2013,4/1/2018,4/1/2018,Maintenir la densité de population actuelle et la zone d'occupation.,Population estimée entre 2 340 000 et 37 070 000 individus. Déclin potentiel de l'étendue de l'occurrence en raison de l'entrée de forêt le long des marges ouest des dunes de la rivière William. Déclin de l'habitat en raison de la conversion nette de la surface des dunes ouvertes en forêt.,Aucun information n'est disponible pour évaluer les tendances de population.,Données insuffisantes pour déterminer les tendances
Braya de Fernald,Braya fernaldii,"Plante vasculaire, herbe",En voie de disparition,7/6/2012,11/1/2012,11/1/2012,Maintenir les populations situées dans l'aire de répartition actuelle.,"Un inventaire réalisé entre 1996 et 2000 a estimé qu'il y avait 3 434 plants en fleur. Les mêmes 15 populations étudiées 8 à 12 ans plus tard ne comprenaient que 1 242 plants matures (soit un déclin de 64 %). Une autre population non répertoriée pendant le premier inventaire (ruisseau Green Island) contenait 2 056 plants matures. Cependant, la population du ruisseau Green Island est située sur un site perturbé par des activités humaines et il se peut qu'elle persiste seulement grâce à l'immigration de populations extérieures. La taille de la population du braya de Fernald est toujours en déclin, selon des parcelles permanentes de suivi.",La taille de la population est en déclin.,Ne montre aucun progrès
Rorqual commun (Population de l'Atlantique),Balaenoptera physalus ,Mammifère,Préoccupante,1/25/2017,5/1/2019,,Le présent plan de gestion a pour but de faire en sorte que les menaces anthropiques dans les eaux canadiennes ne provoquent pas un déclin de la population ou une contraction de l’aire de répartition observée actuellement au Canada.,L’abondance des rorquals communs dans l’Atlantique et le Pacifique Nord semble être en voie de rétablissement après une période grave d’appauvrissement causée par la chasse commerciale à la baleine au 20e siècle.,"Bien qu'aucune tendance d'abondance ne soit disponible pour le Pacifique canadien, les études dans les eaux américaines voisines montrent une abondance augmentant annuellement de 7,5% en moyenne au large de la côte ouest continentale des États-Unis et de 4,8% au large de l'Alaska.",Montre des progrès
Rorqual commun (Population du Pacifique),Balaenoptera physalus,Mammifère,Menacée,7/14/2006,5/1/2019,1/19/2022,"Maintenir ou accroître les proportions relatives de rorquals communs dans les eaux canadiennes du Pacifique, comparativement à l’ensemble de la population, jusqu’en 2016. Atteindre une population de rorquals communs viable à long terme dans les eaux canadiennes du Pacifique.","Les estimations actuelles de l’abondance sont inférieures à 1?000 individus matures, mais elles ne tiennent pas compte des eaux canadiennes au-delà du plateau continental, où un nombre important d’individus ont été observés lors d’un relevé en 2018. ","L’abondance de cette grande baleine semble se rétablir de l’épuisement dû à la chasse industrielle, qui a pris fin au milieu des années 1970. De plus, les populations des eaux états-uniennes voisines sont à la hausse et pourraient faire croître la population canadienne.",Montre des progrès
"Scinque pentaligne, Population carolinienne",Plestiodon fasciatus,Amphibien,En voie de disparition,6/26/2019,4/1/2021,,Les objectifs de population et de répartition d'Environnement et Changement climatique Canada sont d'assurer la viabilité et la survie à long terme.,"Il y a neuf sous-populations existantes de la population carolinienne, pour un total estimé entre 500 et 5000 individus matures. Dans la dernière décennie, il y a vraisemblablement eu un déclin de la population de plus de 30 %, basé sur un déclin observé de 32 % dans la plus grande sous-population qui fait l'objet d'un suivi.",Il y a eu un déclin de population de plus de 30 % dans la dernière décennie et on projette un futur déclin d'entre 10 et 70 % pendant la prochaine décennie.,Ne montre aucun progrès
"Scinque pentaligne, Population des Grands Lacs et du Saint-Laurent",Plestiodon fasciatus,Amphibien,Préoccupante,8/5/2013,4/1/2021,,L'objectif de gestion est de maintenir la distribution et un nombre d'occurrences viables.,"Il y a 87 sous-populations sur la bordure sud du bouclier canadien, pour un total >500 000 individus. Il n'y a pas de données échalonnées sur plusieurs années pour pouvoir déterminer les tendances des populations. Trois sites dans le Parc national des Îles-de-la-Baie-Georgienne semblent être en déclin selon les efforts de recherche.",Il n'y a pas suffisamment de données sur les populations et d'effort de recherche pour pouvoir déterminer les tendances.,Données insuffisantes pour déterminer les tendances
Tanaisie floconneuse,Tanaisie floconneuse,"Plante vasculaire, herbe",Préoccupante,12/18/2013,4/1/2018,4/1/2018,Maintenir la densité de population actuelle et la zone d'occupation.,Population estimée entre 2 780 000 et 21 380 000 individus dans le complexe central des dunes de sable de l'Athabasca. Déclin potentiel de l'étendue de l'occurrence en raison de l'entrée de forêt le long des marges ouest des dunes de la rivière William. Déclin de l'habitat en raison de la conversion nette de la surface des dunes ouvertes en forêt.,Aucun information n'est disponible pour évaluer les tendances de population.,Données insuffisantes pour déterminer les tendances
Leptoge des terrains inondés,Leptogium rivulare,Lichen,Préoccupante,2/25/2013,11/1/2015,11/1/2015,Maintenir la taille et la répartition des populations existantes actuellement connues.,"Il est impossible d'évaluer les tendances en matière de répartition ou d'effectif, car on dispose de très peu de données historiques. Les activités de vérification sur le terrain ont monté le nombre d'occurrences connues à 76. L'occurrence de Wawa est disparue.",Une occurrence est disparue.,Ne montre aucun progrès
Carex tumulicole,Carex tumulicola,"Plante vasculaire, herbe",En voie de disparition,6/21/2013,12/1/2022,,Maintenir les sept populations existantes de carex tumulicoles et prévenir toute réduction de la répartition connue des populations de carex tumulicoles au Canada.,"L’espèce compte entre 1 660 et 3 514 individus matures au Canada répartis en 23 sous-populations. Au cours des 10 dernières années, un déclin du nombre d’individus matures a été observé dans 7 sous populations, les autres sous-populations semblent demeurer stables.",Une perte d’individus a été observée dans 7 des 23 sous-populations au cours des 10 dernières années.,Ne montre aucun progrès
Lutin givré,Callophrys irus,Insecte,Disparue du pays,3/6/2019,5/1/2019,5/1/2019,Maintenir un habitat convenable suffisant et/ou l’accroître pour soutenir une métapopulation (20-30 ans).,Aucune observation de cette espèce n'a été signalée depuis 1988.,Aucune observation de cette espèce n'a été signalée depuis 1988.,Objectifs opérationnels
Sclérophore givré (Population de la Nouvelle-Écosse),Sclerophora peronella,Lichen,Préoccupante,6/29/2011,11/1/2014,11/1/2014,Conserver les 2 occurrences connues en Nouvelle-Écosse ainsi que toute autre population qui pourrait y être découverte.,"Des efforts de recherche accrus ont permis de trouver cette espèce à d'autres sites. Même si les habitats disponibles semblent être en déclin, aucun site connu n'a été perdu.",Les sites connus ont été maintenus.,Montre des progrès
Pédiculaire de Furbish,Pedicularis furbishiae,"Plante vasculaire, herbe",En voie de disparition,6/23/2010,5/1/2011,5/1/2011,"D'ici 2020, maintenir l'effectif des populations existantes à un minimum de 200 individus dans chacun des segments du fleuve situés entre Grand-Sault et Perth-Andover, maintenir l'effectif à un minimum de 250 individus dans le segment du fleuve situé entre la frontière internationale et Grand-Sault et maintenir l'effectif de la population à un minimum de 250 individus au site se trouvant en terrain élevé près d'Aroostook. D'ici 2020, établir des populations autosuffisantes dans d'autres segments du fleuve situés à l'intérieur de l'aire de répartition de l'espèce.","D'après les données disponibles, il y aurait eu une période de relative stabilité allant de 1977 à 2002, suivie de possibles déclins, entre 2001-2002 et 2008-2010. En raison de la nature dynamique de l'habitat et de la faible compétitivité de cette espèce, des disparitions et des colonisations locales sont à prévoir. Depuis 2003, le suivi effectué à des sites connus, quoique d'une ampleur limitée, laisse penser que la population pourrait encore être en déclin. Les changements dans la dynamique du cours d'eau, la disparition d'arbres remplissant une fonction de tampon, les activités récréatives et l'introduction d'espèces envahissantes ont entraîné le déclin continu de la population aux sites existants.",On observe un déclin continu des populations aux sites existants. ,Ne montre aucun progrès
Héliotin d'Aweme,Schinia avemensis,Insecte,En voie de disparition,3/13/2014,11/1/2016,11/1/2016,Maintenir ou augmenter la répartition au Canada.,"Le nombre de sites occupés semble relativement stable, mais il a probablement diminué par rapport à ses niveaux historiques en raison de la perte d’habitat. Les données disponibles sont nettement insuffisantes pour proposer des estimations fiables de la taille des populations.","On ne dispose pas d'information suffisant sur les tendances des populations, mais l'habitat décline.",Données insuffisantes pour déterminer les tendances
Castilléjie dorée,Castilleja levisecta,"Plante vasculaire, herbe",En voie de disparition,8/11/2006,11/1/2007,11/1/2007,"Atteindre des populations autosuffisantes viables dans l'aire de répartition historique au Canada. Maintenir, au minimum, au moins 9 populations, tout en maintenant les 2 populations existantes à leur niveau actuel d'abondance et établir au moins 7 nouvelles populations.","La Castilléjie dorée a été mentionnée à 8 sites au Canada, dont seulement 2 abritent des populations existantes. D'après les données les plus récentes, il y avait un total de 3361 plants produisant des fleurs au Canada en 2006. Ce nombre semble refléter un déclin de population d'environ 25 % au cours de la dernière décennie.",Le déclin de la taille de la population n'est pas conforme à l'objectif visant l'atteinte de populations autosuffisantes dans les sites existants. Aucune nouvelle population n'a été établie.,Ne montre aucun progrès
Lophiolie dorée,Lophiola aurea,"Plante vasculaire, herbe",Préoccupante,9/8/2010,5/1/2012,5/1/2012,Maintenir les populations existantes au niveau d'abondance actuel ou supérieur.,"La population canadienne totale comprend des centaines de milliers de rosettes, mais le nombre d'individus génétiquement distincts est certainement beaucoup moins élevé. Les populations sont installées près des lacs et subissent très certainement un lent déclin lié au développement du rivage.",La taille de la population baisse lentement.,Ne montre aucun progrès
Brochet vermiculé,Esox americanus vermiculatus,"Poisson, eau douce",Préoccupante,4/27/2012,11/1/2014,3/10/2022,Assurer la persistance à long terme de l’espèce dans son aire de répartition au Canada. Maintenir et accroître les populations existantes.,"L’évaluation de la répartition et de l’abondance de l’espèce dans les zones connues et de nouvelles zones présentant un habitat convenable a permis de confirmer la présence continue de l’espèce. En outre, l’aire de répartition de l’espèce a pu être confirmée et affinée grâce aux activités d’échantillonnage menées dans les nouvelles zones. Depuis 2010, le brochet vermiculé a été observé dans cinq nouveaux sites en Ontario et dans neuf cours d’eau au Québec qui n’étaient pas connus pour abriter des populations de cette espèce. ","Dans l’ensemble, les activités de gestion menées de 2012 à 2017 ont permis de mieux comprendre la répartition et l’étendue de l’habitat du brochet vermiculé au Canada. ",Montre des progrès
Gravelier,Erimystax x-punctatus,"Poisson, eau douce",Disparue du pays,2/27/2008,5/1/2019,4/13/2016,"Confirmer l'absence du gravelier, déterminer les conditions de l'habitat, les menaces et la faisabilité de la réintroduction.",L'espèce n'était pas détectée mais la permission de prélever des échantillons dans un site important n'a pas été accordée.,n/d,Objectifs opérationnels
Crapaud du Grand Bassin,Spea intermontana,Amphibien,Menacée,12/22/2017,11/1/2019,,"But du rétablissement: Maintenir ou augmenter l'abondance du crapaud du Grand Bassin dans chacune des six zones géographiques qu'il occupe et d'assurer la connectivité au sein de ces zones. Objectifs du rétablissement: 1. Préserver les habitats principaux du crapaud du Grand Bassin dans chacune des six zones géographiques qu’il occupe. 2. Maintenir ou augmenter la connectivité au sein des sous-populations et entre les sous-populations adjacentes à l'échelle du paysage. 3. Combler les lacunes dans les connaissances sur la répartition, la reproduction, les besoins en matière d'habitat terrestre et d'habitat de connectivité, la dynamique des populations dans le paysage, l'impact des principales menaces et l'efficacité des mesures de rétablissement.","La taille de la population canadienne de crapauds du Grand Bassin est inconnue, mais comprend probablement bien plus de 10 000 individus. On pense que le plus grand nombre d'individus matures, soit plus de 5 000, se trouve dans la région de l'Okanagan. On déduit que le nombre d'individus matures varie par un facteur de plus de 10 d'une année à l'autre. Les tendances récentes de la population sont inconnues en raison du manque de relevés systématiques et de surveillance à long terme, mais des déclins locaux ont été notés, en particulier dans l'Okanagan, à la suite de la perte et de la modification de l'habitat.",n/d,Données insuffisantes pour déterminer les tendances
Crapaud des steppes,Anaxyrus cognatus,Amphibien,Préoccupante,1/16/2013,5/1/2023,,Maintenir la répartition actuelle du crapaud des steppes par la promotion et la mise en œuvre de mesures de conservation qui réduiront les menaces pesant sur l’espèce.,"La taille et les tendances de la population sont inconnues. Une augmentation de la zone d’occurrence et de l’indice de zone d’occupation a été observée entre 2011 et 2019, mais celle-ci est probablement attribuable à une amélioration des connaissances.","Les données accessibles sont insuffisantes, mais la population et la disponibilité de l’habitat sont probablement en déclin à cause des menaces.",Données insuffisantes pour déterminer les tendances
Tétras des armoises de la sous-espèce urophasianus,Centrocercus urophasianus urophasianus,Oiseau,En voie de disparition,12/31/2014,11/1/2021,12/29/2021,"1. Immédiatement : freiner le déclin de la population adulte du Tétras des armoises au Canada. 2. À court terme : inverser le déclin de la population et augmenter le nombre de leks actifs en Alberta et en Saskatchewan. 3. À long terme : maintenir une population de Tétras des armoises stable ou croissante, composée d’au moins 1?095 adultes répartis dans 16 leks actifs ou plus en Alberta et d’au moins 1?500 adultes répartis dans 20 leks actifs ou plus en Saskatchewan.","Les populations de Tétras des armoises au Canada semblent cycliques; ce qui complique l’évaluation des tendances démographiques à court terme. Le nombre de mâles présents dans les leks actifs a quelque peu augmenté par rapport au nombre le plus bas observé entre 2011 et 2014, mais il demeure inférieur à celui observé au cours de toutes les années antérieures à 2009. Le nombre d’individus mature continue de diminuer dans le bloc ouest du parc national du Canada des Prairies, et la réduction inférée du nombre total d’individus matures est de 13 % au cours des trois dernières générations (2009 à 2020). Le nombre de leks actifs est également en baisse.",La population et le nombre de leks actifs sont en baisse.,Ne montre aucun progrès
Tétras des armoises de la sous-espèce phaios,Centrocercus urophasianus phaios,Oiseau,Disparue du pays,12/20/2017,11/1/2021,,Irréalisable,N’a pas été signalé depuis les années 1960.,n/d,Irréalisable
Grand iguane à petites cornes,Phrynosoma hernandesi,Reptile,En voie de disparition,7/31/2015,11/1/2018,11/1/2018,"Maintenir les populations dans tous les polygones d'habitat essentiel situés dans les 8 zones d'occupations actuellement connues de l'espèce, ainsi que toute autre nouvelle population découverte à l'avenir.","Les tendances actuelles en matière de taille de la population et de qualité de l'habitat sont inconnues. Certaines sous-populations sont présumées disparues près de Medicine Hat. Les relevés ont noté des augmentations et des diminutions dans les sous-populations, mais la présence de lézards n'a pas été confirmée dans les zones proches de Medicine Hat.","Des déclins récents sont évidents localement, en particulier autour de Medicine Hat (sous-populations présumées disparues).",Ne montre aucun progrès
Saule à bractées vertes,Salix chlorolepis,"Plante vasculaire, arbre",Menacée,2/16/2011,11/1/2020,,Maintenir la population canadienne à sa taille et sa répartition actuelles.,"Endémique au Québec. La population est estimée être de moins de 500 individus divisés en quatre sous-populations. Il n'y a pas suffisamment de données pour déterminer les tendances de population. Il y des indices de déclin dans le Parc national de la Gaspésie, toutefois, il est possible que les individus qui sont décédés étaient de façon disproportionnée composés d'hydrides.",Il n'y a pas suffisamment de données sur les populations pour déterminer les tendances des populations.,Données insuffisantes pour déterminer les tendances
Baleine grise (Population de l'Atlantique),Eschrichtius robustus,Mammifère,Disparue du pays,9/27/2007,5/1/2022,,Irréalisable,Le statut a été réexaminé et l’espèce a été désignée «?disparue?».,Espèce disparue,Irréalisable
Baleine grise (Population du Pacifique Nord-Est),Eschrichtius robustus,Mammifère,Préoccupante,1/13/2011,11/1/2017,3/1/2019,Maintenir la répartition actuelle de la baleine grise dans les eaux canadiennes du Pacifique ainsi que les voies migratoires qu’elle emprunte.,n/d,n/d,Données insuffisantes pour déterminer les tendances
